what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.ui",1416478760651
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1416478760723
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.300.v201004150625,"org.eclipse.wst.jsdt.web.core",1416478760778
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416478760959
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416478770579
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.300.v201005200151,"org.eclipse.wst.jsdt.web.support.jsp",1416478770683
opened,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1416478770774
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1416478770910
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1416478773256
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416478778871
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416478786131
opened,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1416478786222
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1416478786258
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1416478791193
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416478794916
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416478821976
opened,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1416478822055
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1416478822096
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1416478823835
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416478826417
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416478836130
opened,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1416478836232
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1416478836302
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1416478854326
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416478861763
